"478"	104
"479"	179
"48"	117
"480"	179
"481"	63
"482"	128
"483"	243
"484"	138
"485"	125
"486"	64
"487"	68
"488"	65
"489"	52
"49"	81
"490"	50
"491"	67
"492"	59
"493"	60
"494"	56
"495"	59
"496"	231
"497"	68
"498"	152
"499"	62
"5"	86
"50"	584
"500"	31
"501"	123
"502"	57
"503"	39
"504"	122
"505"	68
"506"	90
"507"	98
"508"	215
"509"	121
"51"	81
"510"	121
"511"	173
"512"	57
"513"	72
"514"	180
"515"	201
"516"	63
"517"	91
"518"	89
"519"	80
"52"	91
"520"	124
"521"	120
"522"	35
"523"	164
"524"	46
"525"	73
"526"	124
"527"	195
"528"	121
"529"	93
"53"	128
"530"	80
"531"	129
"532"	22
"533"	15
"534"	13
"535"	54
"536"	10
"537"	30
"538"	66
"539"	44
"54"	104
"540"	43
"541"	49
"542"	51
"543"	21
"544"	71
"545"	12
"546"	254
"547"	41
"548"	12
"549"	92
"55"	149
"550"	151
"551"	24
"552"	45
"553"	63
"554"	102
"555"	10
"556"	12
"557"	17
"558"	70
"559"	137
"56"	394
"560"	22
"561"	59
"562"	48
"563"	29
"564"	27
"565"	22
"566"	179
"567"	35
"568"	230
"569"	67
"57"	40
"570"	50
"571"	28
"572"	29
"573"	33
"574"	15
"575"	44
"576"	93
"577"	41
"578"	92
"579"	19
"58"	175
"580"	32
"581"	59
"582"	168
"583"	37
"584"	79
"585"	39
"586"	34
"587"	14
"588"	202
"589"	43
"59"	83
"590"	18
"591"	178
"592"	9
"593"	12
"594"	5
"595"	64
"596"	127
"597"	206
"598"	4
"599"	1
"6"	26
"60"	64
"600"	2
"601"	20
"602"	50
"603"	209
"604"	81
"605"	31
"606"	66
"607"	66
"608"	30
"609"	60
"61"	59
"610"	41
"611"	40
"612"	34
"613"	27
"614"	51
"227"	161
"228"	244
"229"	171
"23"	182
"230"	199
"231"	142
"232"	101
"233"	124
"234"	280
"235"	217
"236"	45
"237"	384
"238"	256
"239"	150
"24"	174
"240"	156
"241"	128
"242"	117
"243"	132
"244"	48
"245"	240
"246"	124
"247"	5
"248"	160
"249"	130
"25"	293
"250"	197
"251"	46
"252"	158
"253"	26
"254"	62
"255"	172
"256"	16
"257"	303
"258"	509
"259"	162
"26"	73
"260"	127
"261"	43
"262"	66
"1316"	7
"1317"	4
"1318"	3
"1319"	4
"132"	246
"1320"	1
"1321"	2
"1322"	6
"1323"	3
"1324"	5
"1325"	1
"1326"	6
